id,wid_id,last_see_datetime,familiarity,user_id
1,5,2022-05-15 12:25:30.107155,2,4
2,5,2022-05-15 12:25:32.788455,2,4
3,4,2022-05-15 12:25:35.533954,4,3
4,2,2022-05-15 13:03:18.850040,1,3
5,4,2022-05-15 13:05:10.135938,3,4
6,4,2022-05-15 14:16:51.015432,2,2
7,1,2022-05-16 06:54:04.748778,1,4
8,3,2022-05-15 13:15:28.129114,1,2
9,3,2022-05-15 14:16:56.058549,0,4
10,3,2022-05-15 14:17:23.358121,2,1
11,3,2022-05-15 13:22:55.869964,2,1
12,3,2022-05-15 13:23:03.540004,2,1
13,3,2022-05-15 13:23:06.965523,2,1
14,3,2022-05-15 13:27:40.779762,2,1
15,3,2022-05-15 13:27:43.581359,2,1
16,3,2022-05-15 13:42:07.978016,2,1
17,3,2022-05-15 13:42:10.903390,2,1
18,3,2022-05-15 13:45:48.932257,2,1
19,3,2022-05-15 14:16:40.099411,5,5
20,4,2022-05-15 14:17:37.824354,3,5
21,1,2022-05-15 14:17:42.647771,2,2
22,4,2022-05-15 16:00:37.475760,4,3
23,4,2022-05-16 06:54:04.400779,4,3
