wordOrder,spelling
1,abdomen
2,abide
3,abnormal
4,above
5,abroad
6,abrupt
7,absent
8,absorb
9,abstract
10,abundance 
11,academy
12,accent
13,access
14,accidental
15,acclaim
16,accommodate
17,accomplish
18,accord
19,accordance 
20,accordingly
21,account
22,accuracy
23,accuse
24,achieve
25,acquaint
26,acquaintance
27,acre
28,acrobat
29,across
30,act
31,action
32,activate
33,actor
34,actress
35,adapt
36,additional
37,adequate
38,adhere
39,admire
40,admission
41,admit
42,advance
43,advanced
44,advantage
45,adventure
46,advice
47,advisable
48,advise
49,aerial
50,aeroplane 
51,aesthetic
52,affect
53,affection
54,affiliate
55,afford
56,again
57,age
58,agency
59,agenda
60,aggressive
61,agree
62,agreeable
63,agriculture 
64,ahead
65,aim
66,air-conditioning 
67,aircraft 
68,airport
69,album
70,alcohol
71,alert
72,alive
73,allege
74,allow
75,alloy
76,ally
77,almost
78,alone
79,alongside
80,aloud
81,alphabet
82,already
83,also
84,alter
85,alternate
86,alternative
87,altitude
88,always
89,amateur
90,ambassador
91,ambition
92,ambulance
93,among
94,amount
95,amuse
96,analogue
97,analyse
98,"analytic [,ænə'litik] "
99,ancestor
100,and
101,anecdote
102,anger
103,angry
104,anniversary
105,annoy
106,answer
107,antenna
108,anxiety
109,anyhow
110,anywhere
111,apology 
112,apparatus
113,appeal
114,appearance
115,applause
116,applicable
117,application
118,apply
119,appoint
120,appointment
121,appraisal
122,appropriate
123,approval
124,approve
125,apt
126,arch
127,architect
128,architecture
129,argue
130,argument
131,arm
132,around
133,arouse
134,arrival
135,arrogant
136,arrow
137,artificial
138,artist
139,ash
140,ashore
141,aside
142,aspire
143,assassinate
144,assert
145,assess
146,asset
147,assign
148,assignment
149,assimilate
150,assistance
151,associate
152,association
153,assurance
154,assure
155,astronomy
156,athlete
157,atmosphere
158,atom
159,attend
160,attendance
161,attention
162,attitude
163,attorney
164,attribute
165,auction
166,audience
167,auditorium
168,authentic
169,author
170,automation
171,autonomy
172,autumn
173,available
174,aviation
175,avoid
176,await
177,awake
178,away
179,awkward
180,axe
181,axis
182,bachelor
183,background
184,backward
185,bacon
186,bacterium
187,badge
188,badly
189,badminton
190,bag
191,bait
192,balance
193,balcony
194,bald
195,ball
196,bang
197,bank
198,bankrupt
199,banner
200,banquet
201,barbecue
202,bargain
203,barn
204,barrel
205,barrier
206,basement
207,basic
208,basin
209,basket
210,basketball
211,bat
212,batch
213,battery
214,bay
215,beach
216,beam
217,bear
218,beast
219,beat
220,beer
221,before
222,beforehand
223,begin
224,beginning
225,behavior
226,behind
227,being
228,believe
229,bell
230,beneath
231,benefit
232,bet
233,beverage
234,beware
235,beyond
236,bias
237,Bible
238,big
239,biology
240,bird
241,birth
242,bit
243,bite
244,bitter
245,black
246,blackmail
247,blame
248,blanket
249,blaze
250,bleed
251,blend
252,bless
253,block
254,bloody
255,bloom
256,blouse
257,blow
258,blueprint
259,blunt
260,blur
261,board
262,boast
263,body
264,bold
265,bolt
266,bond
267,bone
268,boom
269,boost
270,border
271,bottle
272,bottom
273,bounce
274,boundary
275,bow
276,bowl
277,bowling
278,boycott
279,brace
280,bracket
281,brain
282,brandy
283,brave
284,bread
285,breadth
286,breakdown
287,breed
288,breeze
289,brick
290,briefcase
291,bright
292,brilliant
293,bring
294,brittle
295,broad
296,broadcast 
297,brochure
298,bronze
299,brook
300,brother
301,brow
302,browse
303,brush
304,bucket
305,build
306,building
307,bulb
308,bulletin 
309,bully
310,bump
311,bundle
312,bureau
313,bureaucracy
314,burglar
315,burn
316,bus
317,butter
318,button
319,cab
320,cabbage
321,cabinet
322,cable
323,cafeteria
324,calculate
325,calendar
326,calm
327,camel
328,camera
329,camp
330,can
331,canal
332,cancer
333,candle
334,canoe
335,capital
336,capitalism
337,capsule
338,captain
339,captive
340,capture
341,carbon
342,cardinal
343,careful
344,cargo
345,carpenter
346,carriage
347,carrot
348,carry
349,carve
350,cashier
351,cast
352,castle
353,casualty
354,cat
355,catalog
356,catastrophe
357,cater
358,cattle
359,cautious
360,cave
361,cease
362,celebrate
363,cell
364,cellar
365,cement
366,census
367,cent 
368,centimetre
369,century
370,ceremony
371,certainty
372,chain
373,chair
374,challenge
375,chamber
376,champagne
377,champion
378,chancellor
379,change
380,chapter
381,character
382,characteristic
383,characterize
384,charity
385,charm
386,chart
387,charter
388,chase
389,chat
390,cheap
391,cheese
392,chef 
393,chemical
394,chemistry
395,cherish
396,cherry
397,chest
398,chicken
399,chief
400,chin
401,china
402,chocolate
403,choke
404,chop
405,Christian
406,chronic
407,church
408,cigar
409,cinema
410,circular
411,circulate
412,cite
413,citizen
414,city
415,civil
416,civilian
417,civilize
418,claim
419,clap
420,clarify
421,clash
422,clasp
423,class
424,classic
425,classmate
426,classroom
427,clause
428,clergy
429,clever
430,click
431,client
432,cliff
433,climax
434,climb
435,cling
436,cloak
437,clone
438,close
439,clothe
440,clothing
441,cloudy
442,clue
443,cluster
444,coalition
445,coarse
446,cock
447,cohesive
448,coincide
449,collaborate
450,collar
451,collect
452,collection
453,collective
454,college
455,collision
456,colonel
457,colony
458,color
459,combination
460,come
461,comedy
462,comic
463,command
464,commend
465,comment
466,commerce
467,commercial
468,commodity
469,common
470,commonwealth
471,commute
472,company
473,comparative
474,compare
475,comparison
476,compartment
477,compassion
478,compatible
479,compensate
480,compensation
481,competent
482,competition
483,competitive
484,complaint
485,complete
486,complicate
487,complicated
488,complication
489,compliment
490,composite
491,compound
492,comprehend
493,comprehension
494,comprise
495,compromise
496,compute
497,computer
498,comrade
499,conceal
500,concede
501,concept
502,concise
503,conclude
504,condition
505,conductor
506,confer
507,conference
508,confident
509,confine
510,confirm
511,conform
512,confusion
513,congratulate
514,congratulation
515,connect
516,connection
517,conscience
518,conscious
519,consecutive
520,conservation
521,considerate
522,consideration
523,console
524,consolidate
525,conspiracy
526,constant
527,constituent
528,constitute
529,constitution
530,constrain
531,construct
532,construction
533,consult
534,consultant
535,consume
536,contact
537,contain
538,contemplate
539,contempt
540,contend
541,contest
542,continent
543,continue
544,contract
545,contrary
546,contrast
547,contribution
548,control
549,convenience
550,convenient
551,convention
552,convert
553,convey
554,convict
555,conviction
556,cool
557,cooperate
558,cooperative
559,cop
560,cope
561,copper
562,cord
563,cordial
564,corn
565,corporation
566,correct
567,correlate
568,correspondence
569,cost
570,costume
571,cosy
572,cotton
573,couch
574,cough
575,counterpart
576,couple
577,coupon
578,courtyard
579,cousin
580,coward
581,crab
582,crack
583,craft
584,crash
585,cream
586,creative
587,creature
588,credit
589,crew
590,crime
591,cripple
592,crisis
593,crisp
594,critical
595,criticize
596,crop
597,cross
598,crowd
599,crucial
600,crude
601,cruel
602,cruise
603,crush
604,crust
605,crystal
606,cube
607,cue
608,culture
609,curl
610,currency
611,curve
612,cushion
613,custom
614,customary
615,cut
616,cyberspace
617,cycle
618,cylinder
619,dangerous
620,darling
621,dash
622,date
623,day
624,daylight
625,deadline
626,deadly
627,dealer
628,dean
629,death
630,debt
631,decade
632,deceit
633,deceive
634,decide
635,decimal
636,decision
637,declaration
638,dedicate
639,deem
640,deer
641,defeat
642,defect
643,defence
644,defy
645,degenerate
646,degree
647,delay
648,delegate
649,delicate
650,demand
651,democracy
652,democratic
653,denial
654,denounce
655,dense
656,density
657,dental
658,dentist
659,deny
660,depart
661,depend
662,dependent
663,deputy
664,derive
665,descend
666,descent
667,describe
668,desert
669,design
670,designate
671,desk
672,desolate
673,despair
674,desperate
675,destination
676,destiny
677,destroy
678,destruction
679,detain
680,detective
681,determine
682,devil
683,devise
684,devote
685,diary
686,dictation
687,dictionary
688,differentiate
689,difficult
690,difficulty
691,diffuse
692,dig
693,digest
694,dilute
695,dim
696,dip
697,directly
698,disappear
699,disappoint
700,disc
701,discern
702,discharge
703,discipline
704,disclose
705,discourage
706,discourse
707,discreet
708,disguise
709,dislike
710,dismay
711,dismiss
712,disorder
713,disperse
714,displace
715,display
716,disposal
717,disposition
718,dispute
719,disrupt
720,dissipate
721,dissolve
722,distance
723,distill
724,distinction
725,distinguish
726,distract
727,distress
728,district
729,ditch
730,divert
731,divide
732,division
733,dock
734,document
735,documentary
736,dollar
737,domain
738,doom
739,door
740,doorway
741,dorm
742,dose
743,doubt
744,downstairs 
745,doze
746,dozen
747,draft
748,dragon
749,drama
750,dramatic
751,drastic
752,draw
753,drawer
754,drawing
755,dread
756,dream
757,drift
758,drip
759,drug
760,drum
761,drunk
762,dubious
763,dumb
764,duplicate
765,durable
766,during
767,duty
768,dwarf
769,dwell
770,dwelling
771,dye
772,dynamic
773,eager
774,early
775,earth
