id,wid_id,last_see_datetime,familiarity,user_id
1,83,2022-05-13 14:18:50.915326,20,1
2,16,2022-05-13 12:49:36.195028,0,13
3,66,2022-05-13 14:17:31.329918,2,4
4,66,2022-05-13 13:55:11.627034,22,4
5,1,2022-05-14 01:29:35.787009,0,13
6,1,2022-05-14 02:07:53.177497,2,1
7,1,2022-05-14 02:14:17.252524,0,10
8,100,2022-05-14 02:20:51.060494,0,10
9,8,2022-05-14 03:33:47.597488,2,5
10,8,2022-05-14 03:35:52.739210,2,3
11,38,2022-05-14 05:59:27.083779,1,2
12,1,2022-05-14 06:33:47.054379,3,20
13,1,2022-05-14 06:34:15.996090,3,20
14,3,2022-05-14 15:05:32.991864,1,2
15,3,2022-05-14 15:05:39.179335,2,5
16,3,2022-05-14 15:05:42.065620,2,3
17,5,2022-05-14 15:05:44.305555,1,3
18,1,2022-05-14 15:05:46.834078,4,5
19,2,2022-05-14 15:05:49.080804,3,5
20,2,2022-05-15 11:21:55.414018,1,1
21,1,2022-05-15 15:50:26.794220,0,4
22,2,2022-05-14 15:10:14.664764,4,4
23,4,2022-05-16 06:54:03.352419,2,4
24,4,2022-05-15 12:32:15.109048,4,3
25,4,2022-05-15 15:52:16.981828,3,5
26,2,2022-05-16 06:54:04.808662,1,3
27,4,2022-05-15 16:00:48.565961,4,3
28,1,2022-05-16 06:54:03.473416,3,20
29,4,2022-05-16 06:54:04.537837,4,3
