id,spelling,char_set_str
3,abandon,abdno
4,abatement , abemnt
5,abdomen,abdemno
6,abide,abdei
7,abnormal,ablmnor
8,aboard,abdor
9,abolish,abhilos
10,abound,abdnou
11,above,abeov
12,abroad,abdor
13,abrupt,abprtu
14,absence,abcens
15,absent,abenst
16,absolute,abelostu
17,absorb,abors
18,abstract,abcrst
19,absurd,abdrsu
20,abundance , abcdenu
21,abundant,abdntu
22,abuse,abesu
23,academic,acdeim
24,academy,acdemy
25,accelerate,acelrt
26,accent,acent
27,accept,acept
28,acceptable , abcelpt
29,acceptance,acenpt
30,access,aces
31,accessory,aceorsy
32,accident,acdeint
33,accidental,acdeilnt
34,acclaim,acilm
35,accommodate,acdemot
36,accommodation,acdimnot
37,accompany,acmnopy
38,accomplish,achilmops
39,accord,acdor
40,accordance , acdenor
41,according to, acdginort
42,accordingly,acdgilnory
43,account,acnotu
44,accountant,acnotu
45,accumulate,acelmtu
46,accuracy,acruy
47,accurate,acertu
48,accuse,acesu
49,accustomed,acdemostu
50,ache , aceh
51,achieve,acehiv
52,acid,acdi
53,acknowledge,acdegklnow
54,acquaint,acinqtu
55,acquaintance,aceinqtu
56,acquire,aceiqru
57,acquisition,acinoqstu
58,acre,acer
59,acrobat,abcort
60,across,acors
61,act,act
62,action,acinot
63,activate,aceitv
64,active,aceitv
65,activity , acitvy
66,actor,acort
67,actress,acerst
68,actual,acltu
69,acute,acetu
70,adapt,adpt
71,add,ad
72,addict,acdit
73,addition,adinot
74,additional,adilnot
75,address,aders
76,adequate,adeqtu
77,adhere,adehr
78,adjacent,acdejnt
79,adjective,acdeijtv
80,adjoin,adijno
81,adjust,adjstu
82,administer,adeimnrst
83,administration,adimnorst
84,admire,adeimr
85,admission,adimnos
86,admit,adimt
87,adolescent,acdelnost
88,adopt,adopt
89,adore,adeor
90,adult,adltu
91,advance,acdenv
92,advanced,acdenv
93,advantage,adegntv
94,advent,adentv
95,adventure,adenrtuv
96,adverb,abderv
97,adverse,adersv
98,advertise,adeirstv
99,advice,acdeiv
100,advisable,abdeilsv
101,advise,adeisv
102,advocate,acdeotv
103,aerial,aeilr
104,aeroplane , aelnopr
105,aesthetic,acehist
106,affair,afir
107,affect,aceft
108,affection,acefinot
109,affiliate,aefilt
110,affirm,afimr
111,affluent,aeflntu
112,afford,adfor
113,afraid,adfir
114,afterward,adefrtw
115,again,agin
116,against,aginst
117,age,aeg
118,agency,acegny
119,agenda,adegn
120,agent,aegnt
121,aggravate,aegrtv
122,aggressive,aegirsv
123,agitate,aegit
124,agony,agnoy
125,agree,aegr
126,agreeable,abeglr
127,agreement,aegmnrt
128,agriculture , acegilrtu
129,ahead,adeh
130,aid,adi
131,aim,aim
132,air,air
133,air-conditioning , -acdginort
134,aircraft , acfirt
135,airline,aeilnr
136,airport,aioprt
137,aisle,aeils
138,alarm,almr
139,album,ablmu
140,alcohol,achlo
141,alert,aelrt
142,alien,aeiln
143,alike,aeikl
144,alive,aeilv
145,allege,aegl
146,alleviate,aeiltv
147,alliance,aceiln
148,allocate,acelot
149,allow,alow
150,allowance,acelnow
151,alloy,aloy
152,ally,aly
153,almost,almost
154,alone,aelno
155,along,aglno
156,alongside,adegilnos
157,aloud,adlou
158,alphabet,abehlpt
159,already,adelry
160,also,alos
161,alter,aelrt
162,alternate,aelnrt
163,alternative,aeilnrtv
164,although,aghlotu
165,altitude,adeiltu
166,altogether,aeghlort
167,aluminum,ailmnu
168,always,alswy
169,amateur,aemrtu
170,amaze,aemz
171,ambassador,abdmors
172,ambiguous,abgimosu
173,ambition,abimnot
174,ambitious,abimostu
175,ambulance,abcelmnu
176,amend,ademn
177,amiable,abeilm
178,amid,adim
179,among,agmno
180,amount,amnotu
181,ample,aelmp
182,amplifier,aefilmpr
183,amplify,afilmpy
184,amuse,aemsu
185,analogue,aeglnou
186,analogy,aglnoy
187,analyse,aelnsy
188,analysis,ailnsy
189,"analytic [,ænə'litik] "," ',[]aciklntyæə"
190,ancestor,acenorst
191,anchor,achnor
192,ancient,aceint
193,and,adn
194,anecdote,acdenot
195,anger,aegnr
196,angle,aegln
197,angry,agnry
198,anguish,aghinsu
199,animal,ailmn
200,ankle,aekln
201,anniversary,aeinrsvy
202,announce,acenou
203,annoy,anoy
204,annual,alnu
205,anonymous,amnosuy
206,another,aehnort
207,answer,aenrsw
208,ant,ant
209,antenna,aent
210,anticipate,aceinpt
211,antique,aeinqtu
212,anxiety,aeintxy
213,anxious,ainosux
214,anyhow,ahnowy
215,anyway,anwy
216,anywhere,aehnrwy
217,apart,aprt
218,apartment,aemnprt
219,apologise,aegilops
220,apology , aglopy
221,appal,alp
222,apparatus,aprstu
223,apparent,aenprt
224,appeal,aelp
225,appear,aepr
226,appearance,acenpr
227,appendix,adeinpx
228,appetite,aeipt
229,applaud,adlpu
230,applause,aelpsu
231,appliance,aceilnp
232,applicable,abceilp
233,application,acilnopt
234,apply,alpy
235,appoint,ainopt
236,appointment,aeimnopt
237,appraisal,ailprs
238,appreciate,aceiprt
239,approach,achopr
240,appropriate,aeioprt
241,approval,aloprv
242,approve,aeoprv
243,approximate,aeimoprtx
244,apt,apt
245,arbitrary,abirty
246,arch,achr
247,architect,acehirt
248,architecture,acehirtu
249,area , aer
250,argue,aegru
251,argument,aegmnrtu
252,arise,aeirs
253,arithmetic,acehimrt
254,arm,amr
255,army,amry
256,around,adnoru
257,arouse,aeorsu
258,arrange,aegnr
259,array,ary
260,arrest,aerst
261,arrival,ailrv
262,arrive,aeirv
263,arrogant,agnort
264,arrow,aorw
265,artery,aerty
266,article,aceilrt
267,articulate,aceilrtu
268,artificial,acfilrt
269,artist,airst
270,artistic,acirst
271,ascend,acdens
272,ascertain,aceinrst
273,ash,ahs
274,ashamed , adehms
275,ashore,aehors
276,aside,adeis
277,asleep,aelps
278,aspect,acepst
279,aspire,aeiprs
280,assassinate,aeinst
281,assault,alstu
282,assemble,abelms
283,assembly,abelmsy
284,assert,aerst
285,assess,aes
286,asset,aest
287,assign,agins
288,assignment,aegimnst
289,assimilate,aeilmst
290,assist,aist
291,assistance,aceinst
292,assistant,ainst
293,associate,aceiost
294,association,acinost
295,assume,aemsu
296,assumption,aimnopstu
297,assurance,acenrsu
298,assure,aersu
299,astonish , ahinost
300,astronaut,anorstu
301,astronomy,amnorsty
302,at,at
303,athlete,aehlt
304,atmosphere,aehmoprst
305,atom,amot
306,attach,acht
307,attack,ackt
308,attain,aint
309,attempt,aempt
310,attend,adent
311,attendance,acdent
312,attendant,adent
313,attention,aeinot
314,attitude,adeitu
315,attorney,aenorty
316,attract,acrt
317,attractive,aceirtv
318,attribute,abeirtu
319,auction,acinotu
320,audience,acdeinu
321,audio,adiou
322,audit , aditu
323,auditorium,adimortu
324,augment,aegmntu
325,aunt,antu
326,aural,alru
327,authentic,acehintu
328,author,ahortu
329,authority,ahiortuy
330,auto,aotu
331,automatic,acimotu
332,automation,aimnotu
333,autonomy,amnotuy
334,autumn,amntu
335,auxiliary,ailruxy
336,avail,ailv
337,available,abeilv
338,avenue,aenuv
339,average,aegrv
340,avert,aertv
341,aviation,ainotv
342,avoid,adiov
343,await,aitw
344,awake,aekw
345,award,adrw
346,aware,aerw
347,away,awy
348,awe,aew
349,awful,afluw
350,awkward,adkrw
351,axe,aex
352,axis,aisx
353,bachelor,abcehlor
354,back,abck
355,background,abcdgknoru
356,backward,abcdkrw
357,bacon,abcno
358,bacterium,abceimrtu
359,bad,abd
360,badge,abdeg
361,badly,abdly
362,badminton,abdimnot
363,bag,abg
364,baggage,abeg
365,bait,abit
366,bake,abek
367,balance,abceln
368,balcony,abclnoy
369,bald,abdl
370,ball,abl
371,ballet,abelt
372,balloon,ablno
373,ballot,ablot
374,ban,abn
375,band,abdn
376,bandage,abdegn
377,bang,abgn
378,bank,abkn
379,bankrupt,abknprtu
380,banner,abenr
381,banquet,abenqtu
382,bar,abr
383,barbecue,abceru
384,barber,aber
385,bare,aber
386,barely,abelry
387,bargain,abginr
388,bark,abkr
389,barn,abnr
390,barrel,abelr
391,barren,abenr
392,barrier,abeir
393,base,abes
394,baseball,abels
395,basement,abemnst
396,basic,abcis
397,basin,abins
398,basis,abis
399,basket,abekst
400,basketball,abeklst
401,bat,abt
402,batch,abcht
403,bath,abht
404,bathe,abeht
405,bathroom , abhmort
406,battery,aberty
407,battle,abelt
408,bay,aby
409,beach,abceh
410,beam,abem
411,bean,aben
412,bear,aber
413,beard,abder
414,bearing,abeginr
415,beast,abest
416,beat,abet
417,beautiful,abefiltu
418,beauty,abetuy
419,because , abcesu
420,become , bcemo
421,bee,be
422,beef,bef
423,beer,ber
424,before,befor
425,beforehand,abdefhnor
426,beg , beg
427,begin,begin
428,beginning,begin
429,behalf,abefhl
430,behave,abehv
431,behavior,abehiorv
432,behind,bdehin
433,being,begin
434,belief,befil
435,believe,beilv
436,bell,bel
437,belly,bely
438,belong,beglno
439,beloved,bdelov
440,below,below
441,belt,belt
442,bench,bcehn
443,bend,bden
444,beneath,abehnt
445,beneficial,abcefiln
446,benefit,befint
447,benign,begin
448,beside,bdeis
449,besides,bdeis
450,bet,bet
451,betray,aberty
452,beverage,abegrv
453,beware,aberw
454,bewilder,bdeilrw
455,beyond,bdenoy
456,bias,abis
457,Bible,Bbeil
458,bibliography,abghilopry
459,bicycle,bceily
460,bid,bdi
461,big,bgi
462,bill,bil
463,billion,bilno
464,bin,bin
465,bind,bdin
466,biography,abghiopry
467,biology,bgiloy
468,bird,bdir
469,birth,bhirt
470,birthday,abdhirty
471,biscuit,bcistu
472,bit,bit
473,bite,beit
474,bitter,beirt
475,bizarre,abeirz
476,black,abckl
477,blackboard,abcdklor
478,blackmail,abciklm
479,blade,abdel
480,blame,abelm
481,blank,abkln
482,blanket,abeklnt
483,blast,ablst
484,blaze,abelz
485,bleak,abekl
486,bleed,bdel
487,blend,bdeln
488,bless,bels
489,blind,bdiln
490,block,bcklo
491,blood,bdlo
492,bloody,bdloy
493,bloom,blmo
494,blossom,blmos
495,blouse,belosu
496,blow,blow
497,blue,belu
498,blueprint,beilnprtu
499,blunder,bdelnru
500,blunt,blntu
501,blur,blru
502,blush,bhlsu
503,board,abdor
504,boast,abost
505,boat,abot
506,body,bdoy
507,boil,bilo
508,bold,bdlo
509,bolt,blot
510,bomb,bmo
511,bond,bdno
512,bone,beno
513,bonus,bnosu
514,book,bko
515,boom,bmo
516,boost,bost
517,boot,bot
518,booth,bhot
519,border,bdeor
520,bore,beor
521,born,bnor
522,borrow,borw
523,bosom,bmos
524,boss,bos
525,bother,behort
526,bottle,belot
527,bottom,bmot
528,bounce,bcenou
529,bound,bdnou
530,boundary,abdnoruy
531,bow,bow
532,bowel,below
533,bowl,blow
534,bowling,bgilnow
535,box,box
536,boycott,bcoty
537,brace,abcer
538,bracket,abcekrt
539,brain,abinr
540,brake,abekr
541,branch,abchnr
542,brand,abdnr
543,brandy,abdnry
544,brass,abrs
545,brave,aberv
546,breach,abcehr
547,bread,abder
548,breadth,abdehrt
549,break,abekr
550,breakdown,abdeknorw
551,breakfast,abefkrst
552,breast,aberst
553,breath,abehrt
554,breathe,abehrt
555,breed,bder
556,breeze,berz
557,bribe,beir
558,brick,bcikr
559,bride,bdeir
560,bridge,bdegir
561,brief,befir
562,briefcase,abcefirs
563,bright,bghirt
564,brilliant,abilnrt
565,brim,bimr
566,bring,bginr
567,brisk,bikrs
568,brittle,beilrt
569,broad,abdor
570,broadcast , abcdorst
571,brochure,bcehoru
572,bronze,benorz
573,brook,bkor
574,broom,bmor
575,brother,behort
576,brow,borw
577,brown,bnorw
578,browse,beorsw
579,bruise,beirsu
580,brush,bhrsu
581,brutal,ablrtu
582,bubble,belu
583,bucket,bcektu
584,bud,bdu
585,budget,bdegtu
586,buffet,beftu
587,bug,bgu
588,build,bdilu
589,building,bdgilnu
590,bulb,blu
591,bulk,bklu
592,bull,blu
593,bullet,beltu
594,bulletin , beilntu
595,bully,bluy
596,bump,bmpu
597,bunch,bchnu
598,bundle,bdelnu
599,burden,bdenru
600,bureau,aberu
601,bureaucracy,abceruy
602,burglar,abglru
603,burn,bnru
604,burst,brstu
605,bury,bruy
606,bus,bsu
607,bush,bhsu
608,business,beinsu
609,busy,bsuy
610,butcher,bcehrtu
611,butter,bertu
612,butterfly,beflrtuy
613,button,bnotu
614,buy,buy
615,by,by
616,bypass,abpsy
617,cab,abc
618,cabbage,abceg
619,cabin,abcin
620,cabinet,abceint
621,cable,abcel
622,cafeteria,acefirt
623,cage,aceg
624,cake,acek
625,calcium , acilmu
626,calculate,aceltu
627,calendar,acdelnr
628,calm,aclm
629,calorie,aceilor
630,camel,acelm
631,camera,acemr
632,camp,acmp
633,campaign,acgimnp
634,campus,acmpsu
635,can,acn
636,canal,acln
637,cancel,aceln
638,cancer,acenr
639,candidate,acdeint
640,candle,acdeln
641,candy,acdny
642,cannon,acno
643,canoe,aceno
644,canteen,acent
645,canvas,acnsv
646,cap,acp
647,capable,abcelp
648,capacity,acipty
649,cape , acep
650,capital,acilpt
651,capitalism,acilmpst
652,capsule,acelpsu
653,captain,acinpt
654,captive,aceiptv
655,capture,aceprtu
656,carbohydrate,abcdehorty
657,carbon,abcnor
658,card,acdr
659,cardinal,acdilnr
660,care,acer
661,career,acer
662,careful,aceflru
663,caress,acers
664,cargo,acgor
665,carpenter,acenprt
666,carpet,aceprt
667,carriage,acegir
668,carrier,aceir
669,carrot,acort
670,carry,acry
671,cart,acrt
672,cartoon,acnort
673,carve,acerv
674,case,aces
675,cash,achs
676,cashier,acehirs
677,cassette,acest
678,cast,acst
679,castle,acelst
680,casual,aclsu
681,casualty,aclstuy
682,cat,act
683,catalog,acglot
684,catastrophe,acehoprst
685,catch,acht
686,category,acegorty
687,cater,acert
688,cathedral,acdehlrt
689,Catholic,Cachilot
690,cattle,acelt
691,cause,acesu
692,caution,acinotu
693,cautious,aciostu
694,cave,acev
695,cease,aces
696,ceiling,cegiln
697,celebrate,abcelrt
698,celebrity,bceilrty
699,cell,cel
700,cellar,acelr
701,cement,cemnt
702,cemetery,cemrty
703,census,censu
704,cent , cent
705,centigrade,acdeginrt
706,centimetre,ceimnrt
707,central,acelnrt
708,centre,cenrt
709,century,cenrtuy
710,cereal,acelr
711,ceremony,cemnory
712,certain,aceinrt
713,certainly,aceilnrty
714,certainty,aceinrty
715,certificate,acefirt
716,certify,cefirty
717,chain,achin
718,chair,achir
719,chairman,achimnr
720,chalk,achkl
721,challenge,aceghln
722,chamber,abcehmr
723,champagne,aceghmnp
724,champion,achimnop
725,chance,acehn
726,chancellor,acehlnor
727,change,aceghn
728,channel,acehln
729,chaos,achos
730,chap,achp
731,chapter,acehprt
732,character,acehrt
733,characteristic,acehirst
734,characterize,acehirtz
735,charge,aceghr
736,charity,achirty
737,charm,achmr
738,chart,achrt
739,charter,acehrt
740,chase,acehs
741,chat,acht
742,cheap,acehp
743,cheat,aceht
744,cheek,cehk
745,cheer,cehr
746,cheese,cehs
747,chef , cefh
748,chemical,acehilm
749,chemist,cehimst
750,chemistry,cehimrsty
751,cheque,cehqu
752,cherish,cehirs
753,cherry,cehry
754,chess,cehs
755,chest,cehst
756,chew,cehw
757,chicken,cehikn
758,chief,cefhi
759,child,cdhil
760,childhood,cdhilo
761,chill,chil
762,chimney,cehimny
763,chin,chin
764,china,achin
765,chip,chip
766,chocolate,acehlot
