id,app_label,model
13,admin,logentry
20,auth,group
19,auth,permission
21,auth,user
14,blog,author
15,blog,blog
16,blog,entry
30,blogs,author
31,blogs,blog
32,blogs,entry
22,contenttypes,contenttype
18,polls,choice
17,polls,question
28,scoreImprover,cet4study
29,scoreImprover,cet6study
1,scoreImprover,examreq
2,scoreImprover,longsentences
27,scoreImprover,neepstudy
3,scoreImprover,scoreimproverneepstudy
23,sessions,session
9,user,feedback
26,user,testforeignkey
25,user,u
10,user,user
24,user,userinfo
12,user,wordsearchhistory
11,user,wordstar
4,word,cet4wordsreq
5,word,cet6wordsreq
6,word,neepwordsreq
7,word,word
33,word,wordmatcher
8,word,wordnotes
