id,app,name,applied
1,contenttypes,0001_initial,2022-04-15 14:13:27.220478
2,auth,0001_initial,2022-04-15 14:13:29.546951
3,admin,0001_initial,2022-04-15 14:13:30.165200
4,admin,0002_logentry_remove_auto_add,2022-04-15 14:13:30.252684
5,admin,0003_logentry_add_action_flag_choices,2022-04-15 14:13:30.360168
6,contenttypes,0002_remove_content_type_name,2022-04-15 14:13:30.897665
7,auth,0002_alter_permission_name_max_length,2022-04-15 14:13:31.153644
8,auth,0003_alter_user_email_max_length,2022-04-15 14:13:31.317593
9,auth,0004_alter_user_username_opts,2022-04-15 14:13:31.412902
10,auth,0005_alter_user_last_login_null,2022-04-15 14:13:31.690226
11,auth,0006_require_contenttypes_0002,2022-04-15 14:13:31.783263
12,auth,0007_alter_validators_add_error_messages,2022-04-15 14:13:31.878107
13,auth,0008_alter_user_username_max_length,2022-04-15 14:13:32.155815
14,auth,0009_alter_user_last_name_max_length,2022-04-15 14:13:32.431615
15,auth,0010_alter_group_name_max_length,2022-04-15 14:13:32.596945
16,auth,0011_update_proxy_permissions,2022-04-15 14:13:32.799549
17,auth,0012_alter_user_first_name_max_length,2022-04-15 14:13:33.056999
56,polls,0001_initial,2022-04-15 14:13:38.436845
57,scoreImprover,0001_initial,2022-04-15 14:13:38.800764
58,sessions,0001_initial,2022-04-15 14:13:39.100071
60,word,0001_initial,2022-04-15 14:13:40.257144
61,blog,0039_alter_entry_body_text,2022-04-16 07:50:05.721673
62,scoreImprover,0002_delete_cet4wordsreq_delete_cet6wordsreq_and_more,2022-04-16 07:50:05.879947
63,word,0002_alter_word_options_alter_wordnotes_options,2022-04-16 07:50:06.081704
70,user,0001_initial,2022-04-17 03:13:17.419877
71,user,0002_remove_user_test,2022-04-17 03:21:09.537764
72,user,0003_alter_user_examdate_alter_user_name_and_more,2022-04-17 03:35:38.028989
73,user,0004_alter_userinfo_examtype,2022-04-17 03:46:03.818053
74,user,0005_u,2022-04-17 03:47:40.160369
75,user,0006_delete_u_alter_user_examtype,2022-04-17 05:02:10.133004
76,user,0007_delete_userinfo,2022-04-17 05:34:03.273645
77,polls,0002_remove_question_test,2022-04-17 07:43:44.028586
78,user,0008_alter_user_name_alter_user_signin,2022-05-08 01:49:56.280756
79,user,0009_delete_wordsearchhistory_and_more,2022-05-08 10:04:08.450168
80,user,0010_wordsearchhistory,2022-05-08 10:04:26.014787
81,user,0011_delete_feedback_delete_wordstar,2022-05-08 10:52:06.494559
82,user,0012_wordstar_feedback,2022-05-08 10:52:23.048855
86,user,0016_remove_wordstar_user,2022-05-08 13:09:51.940862
88,user,0013_alter_wordsearchhistory_spelling_and_more,2022-05-08 13:54:19.665122
89,user,0014_testforeignkey,2022-05-08 15:26:02.141978
90,user,0015_delete_wordstar,2022-05-08 15:41:18.608679
91,user,0016_wordstar,2022-05-08 15:41:29.991318
93,scoreImprover,0003_improverneepstudy_delete_scoreimproverneepstudy,2022-05-09 05:52:13.956494
94,scoreImprover,0004_rename_improverneepstudy_neepstudy,2022-05-09 05:57:06.670623
95,scoreImprover,0005_cet4study_cet6study,2022-05-12 02:40:35.912924
96,word,0003_alter_word_plurality_alter_word_thirdpp,2022-05-12 02:40:35.927124
97,blogs,0001_initial,2022-05-12 02:43:42.537614
98,word,0004_remove_wordnotes_wordspelling_wordnotes_spelling,2022-05-13 04:29:59.265902
99,scoreImprover,0006_remove_cet4study_study_progress_and_more,2022-05-13 10:05:32.078540
100,scoreImprover,0007_alter_neepstudy_wid,2022-05-13 10:39:26.575470
101,scoreImprover,0008_neepstudy_uid,2022-05-13 12:31:58.890706
102,scoreImprover,0009_alter_neepstudy_id,2022-05-13 12:48:52.685900
103,user,0017_alter_user_signupdate,2022-05-13 13:52:44.895610
104,scoreImprover,0010_rename_uid_neepstudy_user,2022-05-14 06:27:31.762538
106,user,0018_user_openid,2022-05-14 12:17:17.281605
107,word,0005_wordmatcher,2022-05-15 06:52:32.124750
108,scoreImprover,0011_cet4study_user_cet6study_user_alter_cet4study_id_and_more,2022-05-15 12:21:42.656022
109,word,0006_rename_char_set_wordmatcher_char_set_str,2022-05-17 14:57:25.439423
